scenario_id,title,sector,E,D,A,F,C,R_CI,provisional_authority,final_authority,w_C_times_C,best_reachable_state,boundary_margin,P_point_state,P_state_change,binding_constraint,evidence_class
WW-002,Wastewater HMI ransomware,wastewater,0.256523,0.547281,0.66486,0.26384,0.7032,0.48905780000000004,Assisted defense,Assisted defense,0.1758,Bounded automation,0.010942199999999958,0.6883,0.3117,Score,ILLUSTRATIVE
RAIL-002,Rail maintenance VPN compromise,rail,0.979047,0.473422,0.649268,0.475149,0.409939,0.5853985500000001,Shadow / restricted,Shadow / restricted,0.10248475,Bounded automation,0.06460144999999995,0.9993,0.0007000000000000339,Score,ILLUSTRATIVE
ROAD-001,Traffic-signal command injection,road/traffic management,0.413882,0.3275,0.234974,0.218762,0.783759,0.42321465,Assisted defense,Shadow / restricted,0.19593975,Bounded automation,0.07321465000000005,0.9991,0.0009000000000000119,G_A,ILLUSTRATIVE
ROAD-002,Traffic-management sensor spoofing,road/traffic management,0.331217,0.713889,0.107438,0.543994,0.517132,0.46321870000000004,Assisted defense,Assisted defense,0.129283,Bounded automation,0.03678129999999996,0.9484,0.05159999999999998,Score,ILLUSTRATIVE
HEALTH-001,Healthcare identity anomaly,healthcare,0.246589,0.165758,0.602774,0.453996,0.318723,0.34336545,Human-approved intervention,Assisted defense,0.07968075,Bounded automation,0.006634549999999961,0.6119,0.3881,G_FA,ILLUSTRATIVE
HEALTH-002,Medical IoT network anomaly,healthcare,0.121545,0.264944,0.267041,0.18688,0.784884,0.35095095,Assisted defense,Assisted defense,0.196221,Bounded automation,0.000950950000000006,0.5265,0.47350000000000003,Score,ILLUSTRATIVE
HOSP-002,Hospital backup compromise,hospitals,0.70181,0.694157,0.544255,0.576934,0.640958,0.63645795,Shadow / restricted,Shadow / restricted,0.1602395,Bounded automation,0.013542049999999972,0.7314,0.26859999999999995,Score,ILLUSTRATIVE
MFG-002,PLC logic integrity mismatch,smart manufacturing,0.130857,0.525159,0.019239,0.209232,0.46838,0.29303045,Human-approved intervention,Shadow / restricted,0.117095,Bounded automation,0.05696954999999998,0.9946,0.00539999999999996,G_A,ILLUSTRATIVE
CHEM-001,Chemical process remote-command anomaly,chemical industry,0.483828,0.045365,0.52441,0.038586,0.27679,0.2614148,Human-approved intervention,Human-approved intervention,0.0691975,Bounded automation,0.06141479999999999,0.9995,0.0004999999999999449,Score,ILLUSTRATIVE
CHEM-002,Safety-instrumented-system access anomaly,chemical industry,0.109992,0.686779,0.111365,0.458076,0.611488,0.42054615,Assisted defense,Assisted defense,0.152872,Bounded automation,0.07054615000000003,0.9988,0.0011999999999999789,Score,ILLUSTRATIVE
OIL-001,Pipeline compressor station intrusion,oil and gas,0.503015,0.82534,0.386285,0.74941,0.530737,0.60618,Shadow / restricted,Shadow / restricted,0.13268425,Bounded automation,0.04381999999999997,0.9758,0.0242,Score,ILLUSTRATIVE
OIL-002,Pipeline leak-detection data poisoning,oil and gas,0.3709,0.289295,0.084102,0.158798,0.271819,0.24436865000000002,Human-approved intervention,Assisted defense,0.06795475,Bounded automation,0.04436865000000001,0.977,0.02300000000000002,G_H,ILLUSTRATIVE
TEL-001,Telecommunications core DDoS,telecommunications,0.42744,0.789242,0.380018,0.581466,0.623528,0.5725143,Shadow / restricted,Shadow / restricted,0.155882,Bounded automation,0.07251430000000003,0.999,0.0010000000000000009,Score,ILLUSTRATIVE
TEL-002,5G management-plane credential compromise,telecommunications,0.207358,0.07155,0.444666,0.383955,0.404095,0.30029625,Human-approved intervention,Human-approved intervention,0.10102375,Bounded automation,0.04970374999999999,0.9868,0.01319999999999999,Score,ILLUSTRATIVE
CDI-002,Cloud control-plane identity compromise,cloud/digital infrastructure,0.552692,0.420825,0.139745,0.396779,0.393625,0.3934272,Assisted defense,Shadow / restricted,0.09840625,Bounded automation,0.0434272,0.9736,0.02639999999999998,G_A,ILLUSTRATIVE
DC-001,Data-center cooling control anomaly,data centers,0.4755,0.430643,0.474122,0.839753,0.574681,0.56396775,Shadow / restricted,Shadow / restricted,0.14367025,Bounded automation,0.06396774999999999,0.9976,0.0023999999999999577,Score,ILLUSTRATIVE
PA-001,Public administration identity compromise,public administration,0.265517,0.358427,0.318148,0.546987,0.52712,0.4136884,Assisted defense,Assisted defense,0.13178,Bounded automation,0.06368840000000003,0.9969,0.0030999999999999917,Score,ILLUSTRATIVE
FOOD-001,Cold-chain warehouse control anomaly,food supply,0.657278,0.170363,0.814764,0.558112,0.571137,0.54214945,Shadow / restricted,Shadow / restricted,0.14278425,Bounded automation,0.04214945000000003,0.9669,0.03310000000000002,Score,ILLUSTRATIVE
LOG-001,Logistics warehouse automation compromise,logistics,0.265277,0.371243,0.232854,0.497074,0.589007,0.40889865,Assisted defense,Assisted defense,0.14725175,Bounded automation,0.05889865,0.9947,0.005299999999999971,Score,ILLUSTRATIVE
