case_id,role,E,D,A,F,C,R_CI,authority_state,evidence_class
BOUNDARY-03,Safety/process expert,0.3480680497254732,0.35145439602169787,0.33825706508086595,0.3454153060351895,0.34384443074090987,0.34568721780382944,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-03,DFIR expert,0.34116673291053995,0.34734914649263987,0.35596964786740637,0.3428050133058405,0.3518096701275489,0.34761204325380224,Human-approved intervention,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-04,OT engineer,0.34490278137030517,0.34899068982008535,0.35397651839063,0.35551733398815566,0.3582673594787571,0.352545478663993,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-04,Cybersecurity analyst,0.3584267500778662,0.3502409828998427,0.3502258892440126,0.3578145219542096,0.35218550738404364,0.3538767112189965,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-04,Safety/process expert,0.34467921539330576,0.3468669433826458,0.34748328628399033,0.3563162977976559,0.35352122108309003,0.3500752895280926,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-04,DFIR expert,0.3551429121244066,0.35243648412198075,0.3539512381464603,0.357753542363804,0.35014392076167855,0.35369525363442694,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-05,OT engineer,0.5017406514253445,0.4910284443536001,0.4948216769206096,0.49370957263601,0.49082496212646576,0.4942252257526988,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-05,Cybersecurity analyst,0.5005885015513801,0.493516919292117,0.4970749647123661,0.49955114662010214,0.500012520389513,0.49829568829695303,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-05,Safety/process expert,0.50032564398717,0.4970757537596101,0.49446021012773506,0.49685502406789495,0.48654266006291846,0.4946559808978249,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-05,DFIR expert,0.4863173251654615,0.4910638023258736,0.4910165190343911,0.5003986453603406,0.4905671256678396,0.49185021384245375,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-06,OT engineer,0.5027310246757637,0.5087953697867164,0.5008624161736315,0.5064250934108026,0.4983982939199407,0.5033192334806864,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-06,Cybersecurity analyst,0.5024340413194609,0.4966332010038699,0.5009658015445966,0.507708515491411,0.4929694107941792,0.4997423744931826,Assisted defense,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-06,Safety/process expert,0.5049398751946085,0.5050930802806604,0.4994351002658192,0.4946569862070026,0.5030994437129499,0.5016281143045647,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-06,DFIR expert,0.4978230437456172,0.5063960572681282,0.5031311128731406,0.5136106733479255,0.5005638662351618,0.5041765883620958,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-07,OT engineer,0.6428590150442688,0.646075653809738,0.6483199801038306,0.6541551254514426,0.6530106674754875,0.6491186227455363,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-07,Cybersecurity analyst,0.6498078930215637,0.6551131506806507,0.639867421674063,0.6428281574701682,0.6417738776849002,0.645973422906811,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-07,Safety/process expert,0.6439944745143987,0.6394065497813288,0.6508109056808864,0.6459999971507407,0.6378418288996507,0.6429622973663393,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-07,DFIR expert,0.6389065255127547,0.6508810830847012,0.6520287594073663,0.6599803853501507,0.663483174796044,0.6536287063996372,Rollback / isolation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-08,OT engineer,0.657486456599656,0.6450627712798088,0.6402077223156122,0.653606268774063,0.6491223534281381,0.6495428460350819,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-08,Cybersecurity analyst,0.6511745231055885,0.6486607525389745,0.6521552546815017,0.6590625480513925,0.6542756247380054,0.6531717591259177,Rollback / isolation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-08,Safety/process expert,0.6513815243111012,0.6474527441497118,0.6429519023317739,0.6504154858788934,0.6523439713617568,0.6493787290581465,Shadow / restricted,SYNTHETIC METHODOLOGICAL DEMONSTRATION
BOUNDARY-08,DFIR expert,0.6616075794814793,0.6557816471288374,0.6588964370661383,0.6510042264087651,0.6448903374014979,0.6537357405141115,Rollback / isolation,SYNTHETIC METHODOLOGICAL DEMONSTRATION
